"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"04/01/2023";"1100";"21,8";"";"";"99,9";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,7"
"04/01/2023";"1200";"22,6";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,7"
"04/01/2023";"1300";"22,8";"";"";"99,9";"";"";"";"";"";"";"";"";"1,6";"";"";"";"2,7"
"04/01/2023";"1400";"24,9";"";"";"92,3";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"04/01/2023";"1500";"25,1";"";"";"88,0";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"04/01/2023";"1600";"25,6";"";"";"83,3";"";"";"";"";"";"";"";"";"3,9";"";"";"";"0,0"
"04/01/2023";"1700";"26,8";"";"";"74,2";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"04/01/2023";"1800";"27,2";"";"";"72,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2023";"1900";"27,1";"";"";"73,2";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,2"
"04/01/2023";"2000";"23,2";"";"";"97,1";"";"";"";"";"";"";"";"";"5,0";"";"";"";"1,0"
"04/01/2023";"2100";"22,9";"";"";"99,9";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"04/01/2023";"2200";"22,6";"";"";"99,2";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"04/01/2023";"2300";"21,8";"";"";"93,7";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"05/01/2023";"0000";"21,4";"";"";"88,8";"";"";"";"";"";"";"";"";"4,5";"";"";"";"0,0"
"05/01/2023";"0100";"21,0";"";"";"88,6";"";"";"";"";"";"";"";"";"4,4";"";"";"";"0,0"
"05/01/2023";"0200";"20,6";"";"";"87,2";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"05/01/2023";"0300";"20,2";"";"";"86,1";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"05/01/2023";"0400";"20,2";"";"";"86,4";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"05/01/2023";"0500";"20,0";"";"";"87,2";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,0"
"05/01/2023";"0600";"19,8";"";"";"86,8";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,2"
"05/01/2023";"0700";"19,4";"";"";"86,0";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"05/01/2023";"0800";"19,2";"";"";"87,1";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"05/01/2023";"0900";"19,1";"";"";"87,2";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,0"
"05/01/2023";"1000";"19,3";"";"";"85,4";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"05/01/2023";"1100";"19,9";"";"";"83,0";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
